Number of Vehicles in Lane 1,Number of Vehicles in Lane 2,Number of Vehicles in Lane 3,Number of Vehicles in Lane 4,Lane 1 Traffic Flow,Lane 2 Traffic Flow,Lane 3 Traffic Flow,Lane 4 Traffic Flow,Lane 1 On Time,Lane 2 On Time,Lane 3 On Time,Lane 4 On Time,Lane 1 Saturation Flow,Lane 2 Saturation Flow,Lane 3 Saturation Flow,Lane 4 Saturation Flow,Lane 1 Flow Ratio,Lane 2 Flow Ratio,Lane 3 Flow Ratio,Lane 4 Flow Ratio,Total Flow Ratio,Optimum Cycle Time,Width of Lane 1,Width of Lane 2,Width of Lane 3,Width of Lane 4,Intergreen Period,Amber Period,Number of Phases,Initial Delay,Minimum On Time,Maximum Cycle Time,Total Time Lost
2,4,33,0,2.75,4.0,46.5,0.0,10.0,10.0,29.0,10.0,180.0,180.0,180.0,180.0,0.015277777777777777,0.022222222222222223,0.25833333333333336,0.0,0.29583333333333334,75.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
1,2,7,21,0.33,2.75,11.0,28.0,10.0,10.0,11.0,17.0,180.0,180.0,180.0,180.0,0.0018333333333333335,0.015277777777777777,0.06111111111111111,0.15555555555555556,0.23377777777777778,60.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
24,0,25,1,33.0,0.0,37.25,1.0,16.0,10.0,18.0,10.0,180.0,180.0,180.0,180.0,0.18333333333333332,0.0,0.20694444444444443,0.005555555555555556,0.39583333333333326,70.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
27,17,37,30,34.25,26.5,50.33,43.75,23.0,18.0,34.0,29.0,180.0,180.0,180.0,180.0,0.19027777777777777,0.14722222222222223,0.2796111111111111,0.24305555555555555,0.8601666666666667,120.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
24,10,24,3,38.0,14.25,29.0,3.0,19.0,10.0,14.0,10.0,180.0,180.0,180.0,180.0,0.2111111111111111,0.07916666666666666,0.16111111111111112,0.016666666666666666,0.4680555555555555,70.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
24,17,5,3,33.0,26.5,10.5,2.0,16.0,13.0,10.0,10.0,180.0,180.0,180.0,180.0,0.18333333333333332,0.14722222222222223,0.058333333333333334,0.011111111111111112,0.4,65.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
0,18,38,14,0.0,28.75,51.25,16.25,10.0,15.0,26.0,10.0,180.0,180.0,180.0,180.0,0.0,0.1597222222222222,0.2847222222222222,0.09027777777777778,0.5347222222222222,75.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
3,31,3,37,2.0,44.5,3.0,53.25,10.0,25.0,10.0,30.0,180.0,180.0,180.0,180.0,0.011111111111111112,0.24722222222222223,0.016666666666666666,0.29583333333333334,0.5708333333333333,90.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
3,32,19,18,2.0,38.65,26.75,28.75,10.0,20.0,14.0,15.0,180.0,180.0,180.0,180.0,0.011111111111111112,0.2147222222222222,0.1486111111111111,0.1597222222222222,0.5341666666666667,75.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
27,9,4,16,42.33,10.75,4.0,17.0,21.0,10.0,10.0,11.0,180.0,180.0,180.0,180.0,0.23516666666666666,0.059722222222222225,0.022222222222222223,0.09444444444444444,0.4115555555555555,65.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
